type,time,latitude,longitude,altitude (m),name,des
T,30/12/2017 20:34,45.489071,-73.575171,-11.9,,
T,30/12/2017 20:34,45.48924,-73.575052,-10.5,,
T,30/12/2017 20:34,45.48941,-73.574898,-11.1,,
T,30/12/2017 20:34,45.489544,-73.574766,-11.6,,
T,30/12/2017 20:34,45.489683,-73.574636,-11.5,,
T,30/12/2017 20:34,45.489762,-73.574517,-12.9,,
T,30/12/2017 20:38,45.489829,-73.574435,-13.3,,
T,30/12/2017 20:38,45.48992,-73.574386,-13.1,,
T,30/12/2017 20:38,45.490032,-73.574276,-13,,
T,30/12/2017 20:38,45.490094,-73.574203,-11.1,,
T,30/12/2017 20:38,45.490124,-73.574082,-11.1,,
T,30/12/2017 20:38,45.489932,-73.573683,-10.9,,
T,30/12/2017 20:38,45.489758,-73.573264,-10.5,,
T,30/12/2017 20:39,45.489478,-73.572803,-12.3,,
T,30/12/2017 20:39,45.489346,-73.572537,-12.3,,
T,30/12/2017 20:39,45.489283,-73.572401,-12.8,,
T,30/12/2017 20:39,45.489231,-73.572335,-14.5,,
T,30/12/2017 20:39,45.489173,-73.572213,-13.4,,
T,30/12/2017 20:39,45.489163,-73.572102,-15.6,,
T,30/12/2017 20:39,45.489484,-73.571796,-14.6,,
T,30/12/2017 20:39,45.489847,-73.571449,-14.7,,
T,30/12/2017 20:39,45.490205,-73.571116,-14.8,,
T,30/12/2017 20:40,45.490574,-73.570756,-15.1,,
T,30/12/2017 20:40,45.490891,-73.570459,-10.8,,
T,30/12/2017 20:40,45.49114,-73.570216,-9.9,,
T,30/12/2017 20:40,45.49119,-73.570136,-7.8,,
T,30/12/2017 20:40,45.491332,-73.569948,-10,,
T,30/12/2017 20:40,45.491293,-73.569677,-10.8,,
T,30/12/2017 20:40,45.491073,-73.569249,-12.4,,
T,30/12/2017 20:40,45.490854,-73.568792,-13.4,,
T,30/12/2017 20:40,45.490537,-73.568111,-11.9,,
T,30/12/2017 20:40,45.490328,-73.567685,-10,,
T,30/12/2017 20:40,45.490202,-73.56745,-10.3,,
T,30/12/2017 20:41,45.490151,-73.567347,-7.6,,
T,30/12/2017 20:41,45.490146,-73.567252,-6.7,,
T,30/12/2017 20:41,45.490367,-73.56697,-8.7,,
T,30/12/2017 20:41,45.490729,-73.566642,-7.1,,
T,30/12/2017 20:42,45.491106,-73.566308,-6,,
T,30/12/2017 20:42,45.491463,-73.566012,-6.9,,
T,30/12/2017 20:42,45.491902,-73.56563,-7.7,,
T,30/12/2017 20:42,45.492247,-73.565351,-6.7,,
T,30/12/2017 20:42,45.492543,-73.565115,-7.4,,
T,30/12/2017 20:42,45.492759,-73.564959,-3.6,,
T,30/12/2017 20:42,45.492869,-73.564846,-5.8,,
T,30/12/2017 20:42,45.492934,-73.564796,-7.4,,
T,30/12/2017 20:43,45.493175,-73.564579,-6.5,,
T,30/12/2017 20:43,45.493506,-73.564245,-4.6,,
T,30/12/2017 20:43,45.493684,-73.564073,-3.9,,
T,30/12/2017 20:43,45.493948,-73.563848,-1.8,,
T,30/12/2017 20:43,45.49435,-73.563685,-7.7,,
T,30/12/2017 20:43,45.494822,-73.563377,-4.1,,
T,30/12/2017 20:43,45.495064,-73.563167,-3.4,,
T,30/12/2017 20:43,45.495434,-73.56296,-9.3,,
T,30/12/2017 20:43,45.495775,-73.562729,-14.7,,
