typ,time,latitude,longitude,altitude (m),name,desc
T,31/12/2017 22:23,45.523826,-73.548532,29.3,,
T,31/12/2017 22:23,45.523736,-73.54833,28.3,,
T,31/12/2017 22:24,45.523731,-73.548292,35.3,,
T,31/12/2017 22:24,45.52357,-73.54802,33.3,,
T,31/12/2017 22:24,45.523348,-73.547693,33.3,,
T,31/12/2017 22:24,45.523165,-73.547291,32.3,,
T,31/12/2017 22:24,45.523009,-73.546926,32.3,,
T,31/12/2017 22:24,45.522732,-73.546651,32.3,,
T,31/12/2017 22:24,45.522258,-73.546891,28.3,,
T,31/12/2017 22:24,45.521688,-73.54722,23.3,,
T,31/12/2017 22:24,45.521305,-73.547477,22.3,,
T,31/12/2017 22:24,45.521041,-73.547662,21.3,,
T,31/12/2017 22:25,45.52093,-73.547744,21.3,,
T,31/12/2017 22:25,45.520877,-73.547771,22.3,,
T,31/12/2017 22:25,45.520569,-73.547984,21.3,,
T,31/12/2017 22:25,45.520163,-73.548239,20.3,,
T,31/12/2017 22:25,45.519737,-73.548523,19.3,,
T,31/12/2017 22:25,45.519254,-73.548868,17.3,,
T,31/12/2017 22:25,45.518618,-73.549329,18.3,,
T,31/12/2017 22:25,45.518121,-73.549672,18.3,,
T,31/12/2017 22:25,45.517638,-73.550014,16.3,,
T,31/12/2017 22:25,45.517108,-73.550425,16.3,,
T,31/12/2017 22:25,45.51652,-73.550907,16.3,,
T,31/12/2017 22:25,45.515833,-73.551543,10.3,,
T,31/12/2017 22:25,45.51526,-73.552108,8.3,,
T,31/12/2017 22:25,45.514642,-73.552685,9.3,,
T,31/12/2017 22:26,45.514005,-73.55322,11.3,,
T,31/12/2017 22:26,45.508756,-73.557232,6.3,,
T,31/12/2017 22:26,45.508043,-73.557813,4.3,,
T,31/12/2017 22:26,45.507373,-73.558411,7.3,,
T,31/12/2017 22:26,45.506678,-73.559031,9.3,,
T,31/12/2017 22:26,45.506145,-73.559523,9.3,,
T,31/12/2017 22:26,45.505998,-73.559668,9.3,,
T,31/12/2017 22:27,45.497648,-73.56274,7.2,,
T,31/12/2017 22:27,45.497522,-73.563534,5.3,,
T,31/12/2017 22:27,45.497519,-73.563723,-1.7,,
T,31/12/2017 22:28,45.497536,-73.56382,25.3,,
T,31/12/2017 22:28,45.497714,-73.563842,24.3,,
T,31/12/2017 22:29,45.498181,-73.563439,26.3,,
T,31/12/2017 22:29,45.498539,-73.563062,27.3,,
T,31/12/2017 22:29,45.498865,-73.562741,25.2,,
T,31/12/2017 22:29,45.49886,-73.562493,24.2,,
T,31/12/2017 22:29,45.498497,-73.562072,22.2,,
T,31/12/2017 22:29,45.498027,-73.561526,21.2,,
T,31/12/2017 22:29,45.497785,-73.561029,20.2,,
T,31/12/2017 22:29,45.497421,-73.560243,21.2,,
T,31/12/2017 22:29,45.49711,-73.55962,22.2,,
T,31/12/2017 22:29,45.496933,-73.559331,22.2,,
T,31/12/2017 22:29,45.496722,-73.559465,21.2,,
T,31/12/2017 22:29,45.496397,-73.55985,18.2,,
T,31/12/2017 22:29,45.496241,-73.560016,15.2,,
T,31/12/2017 22:29,45.496063,-73.560206,14.2,,
T,31/12/2017 22:30,45.495809,-73.560501,11.2,,
T,31/12/2017 22:30,45.495517,-73.560771,12.2,,
T,31/12/2017 22:30,45.495321,-73.560982,13.2,,
T,31/12/2017 22:30,45.494976,-73.561188,16.2,,
T,31/12/2017 22:31,45.494921,-73.561288,18.2,,
T,31/12/2017 22:31,45.494651,-73.561492,17.2,,
T,31/12/2017 22:31,45.494285,-73.561755,18.2,,
T,31/12/2017 22:31,45.494018,-73.561961,19.2,,
T,31/12/2017 22:31,45.493703,-73.562183,16.2,,
T,31/12/2017 22:31,45.493338,-73.562424,17.2,,
T,31/12/2017 22:31,45.493101,-73.562586,17.2,,
T,31/12/2017 22:31,45.49314,-73.562888,18.2,,
T,31/12/2017 22:31,45.493301,-73.563281,19.2,,
T,31/12/2017 22:31,45.493288,-73.56343,18.2,,
T,31/12/2017 22:31,45.493086,-73.563597,16.2,,
T,31/12/2017 22:51,45.493053,-73.563641,44.2,,
T,31/12/2017 22:51,45.493053,-73.563641,44.2,,
