GPSHeading,GPSAltitude,GPSLatitude,VerticalAccuracy,TimeStamp,GPSLongitude,GPSSpeed,HorizontalAccuracy
0,-16,45.49757385,10,1514759328,-73.56384277,0,10
0,-16,45.49757385,10,1514759329,-73.56384277,0,10
0,-16,45.49757385,10,1514759330,-73.56384277,0,10
0,-16,45.49757385,10,1514759331,-73.56384277,0,10
0,-16,45.49757385,8,1514759332,-73.56384277,0,8
0,-16,45.49757385,11,1514759333,-73.56384277,0,11
258,-15,45.49755096,12,1514759334,-73.56383514,0.509765625,12
345,-10,45.49763489,11,1514759335,-73.56386566,5.080078125,11
0,-10,45.49767685,11,1514759336,-73.56386566,3.629882813,11
31,-10,45.49774933,8,1514759337,-73.56381226,6.599609375,8
37,-11,45.49781036,10,1514759338,-73.56375885,6.75,10
34,-10,45.49792862,8,1514759339,-73.56367493,12.13964844,8
34,-9,45.49800873,8,1514759340,-73.56357574,12.69042969,8
34,-11,45.49809265,7,1514759341,-73.56347656,13.48046875,7
33,-10,45.49819565,6,1514759342,-73.56338501,13.16015625,6
34,-8,45.49829102,7,1514759343,-73.56329346,12.88964844,7
32,-9,45.49839783,8,1514759344,-73.56319427,14.19042969,8
31,-8,45.49850464,10,1514759345,-73.56311035,13.26953125,10
32,-7,45.49860764,16,1514759346,-73.56301117,13.84960938,16
36,-7,45.49866486,16,1514759347,-73.56292725,11.26953125,16
33,-7,45.49876785,15,1514759348,-73.56286621,11.95019531,15
35,-6,45.49878693,10,1514759349,-73.56280518,7.509765625,10
36,-5,45.49887848,10,1514759350,-73.56275177,8.76953125,10
46,-5,45.49890518,8,1514759351,-73.56271362,4.740234375,8
76,-6,45.498909,7,1514759352,-73.56267548,3.51953125,7
79,-7,45.49892044,7,1514759353,-73.56261444,4.860351563,7
113,-7,45.49890518,8,1514759354,-73.56255341,4.75,8
119,-8,45.49887085,8,1514759355,-73.56246948,7.08984375,8
103,-9,45.49886703,10,1514759356,-73.56237793,6.559570313,10
133,-8,45.4987793,12,1514759357,-73.56229401,8.5703125,12
136,-9,45.49865723,10,1514759358,-73.56216431,14.29980469,10
145,-9,45.49852371,10,1514759359,-73.56208801,13.15039063,10
144,-8,45.49837112,7,1514759360,-73.56195068,16.08007813,7
145,-9,45.4982605,7,1514759361,-73.56185913,14.75976563,7
142,-9,45.49816132,7,1514759362,-73.5617218,14.29003906,7
136,-12,45.49808502,5,1514759363,-73.56161499,11.50976563,5
130,-11,45.49802017,4,1514759364,-73.56150818,11.5703125,4
128,-12,45.49795151,4,1514759365,-73.56138611,11.54980469,4
134,-11,45.49785995,5,1514759366,-73.56129456,11.12988281,5
126,-12,45.49781036,5,1514759367,-73.5611496,11.79003906,5
126,-12,45.49775696,6,1514759368,-73.56102753,11.12011719,6
124,-12,45.49767685,5,1514759369,-73.56086731,14.09960938,5
123,-14,45.49760818,5,1514759370,-73.56072235,13.88964844,5
125,-14,45.49752045,6,1514759371,-73.56058502,13.98046875,6
123,-16,45.49742126,5,1514759372,-73.56039429,17.09960938,5
125,-16,45.49733734,6,1514759373,-73.56022644,15.98046875,6
124,-16,45.49727249,6,1514759374,-73.56006622,15.49023438,6
122,-17,45.49720001,5,1514759375,-73.55989075,15.63964844,5
122,-17,45.49713516,5,1514759376,-73.55974579,14.48046875,5
122,-16,45.49708176,5,1514759377,-73.55962372,12.53027344,5
123,-15,45.49702835,5,1514759378,-73.55950165,10.91015625,5
125,-15,45.49698639,4,1514759379,-73.55942535,7.290039063,4
149,-15,45.49694061,4,1514759380,-73.55937195,5.8203125,4
137,-15,45.49689865,5,1514759381,-73.55931091,7.099609375,5
121,-14,45.49689102,7,1514759382,-73.55926514,4.5,7
185,-14,45.49681091,9,1514759383,-73.55929565,6.849609375,9
221,-13,45.49677658,10,1514759384,-73.55937195,6.41015625,10
221,-13,45.4967308,14,1514759385,-73.55940247,6.4296875,14
206,-14,45.49662399,17,1514759386,-73.55948639,8.190429688,17
217,-14,45.49654007,14,1514759387,-73.55963898,9.1796875,14
218,-14,45.4964447,11,1514759388,-73.55974579,10.37011719,11
222,-16,45.49636841,9,1514759389,-73.55986023,10.88964844,9
221,-18,45.49631119,10,1514759390,-73.55993652,10.04980469,10
234,-16,45.496315,9,1514759391,-73.56001282,4.150390625,9
226,-16,45.49627686,8,1514759392,-73.56005096,3.129882813,8
224,-17,45.49625778,7,1514759393,-73.56006622,0.849609375,7
223,-17,45.49625397,7,1514759394,-73.56006622,0.509765625,7
253,-17,45.49623871,6,1514759395,-73.56008911,1.719726563,6
242,-17,45.49623489,6,1514759396,-73.56010437,1.650390625,6
198,-17,45.49621582,6,1514759397,-73.56008911,1.6796875,6
232,-17,45.49618149,7,1514759398,-73.56013489,4.919921875,7
216,-17,45.49609756,10,1514759399,-73.56020355,9.530273438,10
217,-16,45.49605179,11,1514759400,-73.56024933,7.0703125,11
220,-16,45.49600983,11,1514759401,-73.56030273,6.830078125,11
219,-17,45.49595642,12,1514759402,-73.5603714,7.26953125,12
206,-16,45.49588013,13,1514759403,-73.56039429,7.51953125,13
213,-17,45.49582291,12,1514759404,-73.56046295,8.040039063,12
216,-16,45.49576187,13,1514759405,-73.56053162,8.360351563,13
209,-17,45.49568939,13,1514759406,-73.56056976,8.240234375,13
213,-17,45.49564362,13,1514759407,-73.56062317,7.259765625,13
216,-17,45.49558258,14,1514759408,-73.56070709,8.209960938,14
215,-17,45.49555206,14,1514759409,-73.56077576,7.509765625,14
218,-16,45.49550247,14,1514759410,-73.56085205,7.120117188,14
219,-16,45.49545288,13,1514759411,-73.56090546,6.580078125,13
218,-16,45.49537277,13,1514759412,-73.56099701,9.190429688,13
205,-18,45.495327,12,1514759413,-73.56097412,7.400390625,12
210,-18,45.49523544,12,1514759414,-73.56100464,8.66015625,12
209,-17,45.49516678,11,1514759415,-73.56102753,7.459960938,11
205,-16,45.49509048,11,1514759416,-73.56105804,7.58984375,11
210,-15,45.49506378,12,1514759417,-73.56112671,7.129882813,12
199,-16,45.4949913,12,1514759418,-73.56115723,6.879882813,12
203,-16,45.49493027,13,1514759419,-73.56117249,7.0703125,13
203,-16,45.49491882,12,1514759420,-73.56118774,1.280273438,12
214,-18,45.49490356,12,1514759421,-73.56121826,1.379882813,12
217,-18,45.49488449,12,1514759422,-73.56122589,1.370117188,12
205,-18,45.49487305,12,1514759423,-73.56125641,0.690429688,12
53,-18,45.49490356,12,1514759424,-73.56123352,0.740234375,12
0,-19,45.49489212,12,1514759425,-73.56124115,0,12
27,-19,45.49490738,12,1514759426,-73.56124115,0.280273438,12
206,-19,45.49491119,12,1514759427,-73.56125641,0.330078125,12
65,-21,45.49489975,12,1514759428,-73.56124115,0.330078125,12
