typ,time,latitude,longitude,altitude (m),name,desc
T,30/12/2017 21:18,45.507236,-73.553757,3,,
T,30/12/2017 21:18,45.507221,-73.553696,0,,
T,30/12/2017 21:18,45.507198,-73.553635,1,,
T,30/12/2017 21:18,45.507195,-73.553574,1,,
T,30/12/2017 21:18,45.507175,-73.553474,0,,
T,30/12/2017 21:18,45.507126,-73.553345,-5,,
T,30/12/2017 21:18,45.507099,-73.5532,2,,
T,30/12/2017 21:18,45.507034,-73.553055,-1,,
T,30/12/2017 21:18,45.506985,-73.55294,-2,,
T,30/12/2017 21:19,45.506939,-73.552902,-8,,
T,30/12/2017 21:19,45.506893,-73.552856,-8,,
T,30/12/2017 21:19,45.506817,-73.552849,-13,,
T,30/12/2017 21:19,45.506737,-73.552895,-11,,
T,30/12/2017 21:19,45.506683,-73.552971,-12,,
T,30/12/2017 21:19,45.50668,-73.553108,-13,,
T,30/12/2017 21:19,45.506683,-73.553261,-14,,
T,30/12/2017 21:19,45.506687,-73.553329,-11,,
T,30/12/2017 21:19,45.506733,-73.553429,-12,,
T,30/12/2017 21:19,45.506817,-73.553497,-14,,
T,30/12/2017 21:19,45.506847,-73.553558,-12,,
T,30/12/2017 21:19,45.50692,-73.553642,-11,,
T,30/12/2017 21:19,45.506924,-73.553749,-13,,
T,30/12/2017 21:19,45.506733,-73.553856,-10,,
T,30/12/2017 21:19,45.506607,-73.553925,-9,,
T,30/12/2017 21:20,45.506588,-73.554039,-16,,
T,30/12/2017 21:20,45.506653,-73.554192,-16,,
T,30/12/2017 21:20,45.506695,-73.554306,-16,,
T,30/12/2017 21:20,45.506752,-73.554459,-15,,
T,30/12/2017 21:20,45.506783,-73.554565,-13,,
T,30/12/2017 21:20,45.50684,-73.554718,-13,,
T,30/12/2017 21:20,45.506889,-73.55481,-14,,
T,30/12/2017 21:20,45.506947,-73.554916,-14,,
T,30/12/2017 21:20,45.506981,-73.554985,-14,,
T,30/12/2017 21:20,45.507114,-73.554962,-12,,
T,30/12/2017 21:20,45.507282,-73.554863,-9,,
T,30/12/2017 21:20,45.507504,-73.554626,-9,,
T,30/12/2017 21:20,45.50782,-73.554375,-7,,
T,30/12/2017 21:20,45.508022,-73.554253,-5,,
T,30/12/2017 21:20,45.508102,-73.554192,-4,,
T,30/12/2017 21:21,45.508144,-73.554138,-3,,
T,30/12/2017 21:21,45.508171,-73.554085,-3,,
T,30/12/2017 21:21,45.508099,-73.553856,-3,,
T,30/12/2017 21:21,45.508026,-73.553688,-2,,
T,30/12/2017 21:21,45.507984,-73.553581,-3,,
T,30/12/2017 21:21,45.50795,-73.553528,-2,,
T,30/12/2017 21:21,45.507923,-73.553436,-1,,
T,30/12/2017 21:21,45.507889,-73.553299,-2,,
T,30/12/2017 21:21,45.507843,-73.553146,-2,,
T,30/12/2017 21:21,45.507778,-73.553001,-4,,
T,30/12/2017 21:21,45.507721,-73.552879,-4,,
T,30/12/2017 21:21,45.507652,-73.552719,-2,,
T,30/12/2017 21:21,45.50761,-73.55262,-2,,
T,30/12/2017 21:22,45.507565,-73.552498,-3,,
T,30/12/2017 21:22,45.507523,-73.552345,-2,,
T,30/12/2017 21:22,45.507484,-73.552246,-4,,
T,30/12/2017 21:22,45.507442,-73.552193,-5,,
T,30/12/2017 21:22,45.507385,-73.552132,-11,,
T,30/12/2017 21:22,45.507305,-73.552132,-17,,
T,30/12/2017 21:22,45.507256,-73.552162,-17,,
T,30/12/2017 21:22,45.507187,-73.5522,-16,,
T,30/12/2017 21:22,45.507072,-73.552261,-17,,
T,30/12/2017 21:22,45.506966,-73.552307,-16,,
T,30/12/2017 21:22,45.506767,-73.552437,-16,,
T,30/12/2017 21:22,45.506607,-73.552536,-11,,
