type,time,latitude,longitude,altitude (m),name,desc
T,31/12/2017 20:51,45.497231,-73.608407,131.4,,
T,31/12/2017 20:51,45.497302,-73.608437,129.4,,
T,31/12/2017 20:51,45.49738,-73.608448,129.4,,
T,31/12/2017 20:51,45.49743,-73.608425,129.4,,
T,31/12/2017 20:51,45.497521,-73.60834,128.4,,
T,31/12/2017 20:51,45.497625,-73.608143,128.4,,
T,31/12/2017 20:51,45.497731,-73.607874,129.4,,
T,31/12/2017 20:51,45.497807,-73.607655,130.4,,
T,31/12/2017 20:52,45.497915,-73.607401,131.4,,
T,31/12/2017 20:52,45.498015,-73.607257,133.4,,
T,31/12/2017 20:52,45.498088,-73.607176,135.4,,
T,31/12/2017 20:52,45.498191,-73.6071,137.4,,
T,31/12/2017 20:52,45.498346,-73.607018,139.4,,
T,31/12/2017 20:52,45.498478,-73.607029,140.4,,
T,31/12/2017 20:52,45.498603,-73.60708,141.4,,
T,31/12/2017 20:52,45.498748,-73.60715,142.4,,
T,31/12/2017 20:52,45.498896,-73.607235,145.4,,
T,31/12/2017 20:52,45.499023,-73.607309,146.4,,
T,31/12/2017 20:52,45.499103,-73.607448,148.4,,
T,31/12/2017 20:52,45.499148,-73.60768,149.4,,
T,31/12/2017 20:52,45.499182,-73.607879,148.4,,
T,31/12/2017 20:53,45.499222,-73.608097,149.4,,
T,31/12/2017 20:53,45.499233,-73.608259,150.4,,
T,31/12/2017 20:53,45.499298,-73.608336,148.4,,
T,31/12/2017 20:53,45.499371,-73.608246,149.4,,
T,31/12/2017 20:53,45.499416,-73.608165,147.4,,
T,31/12/2017 20:53,45.499475,-73.608055,147.4,,
T,31/12/2017 20:53,45.499562,-73.607909,147.4,,
T,31/12/2017 20:53,45.499669,-73.607749,147.4,,
T,31/12/2017 20:53,45.499813,-73.607541,148.4,,
T,31/12/2017 20:53,45.499979,-73.6073,149.4,,
T,31/12/2017 20:53,45.500093,-73.607117,149.4,,
T,31/12/2017 20:53,45.500179,-73.607067,151.4,,
T,31/12/2017 20:53,45.500261,-73.60713,152.4,,
T,31/12/2017 20:53,45.50032,-73.607255,151.4,,
