,time,lat,long,
T,30/12/2017 21:20,45.506609,-73.554216,18
T,30/12/2017 21:20,45.506789,-73.554583,19
T,30/12/2017 21:20,45.506966,-73.554945,20
T,30/12/2017 21:20,45.507337,-73.554744,21
T,30/12/2017 21:20,45.507979,-73.554214,22
T,30/12/2017 21:21,45.508147,-73.554077,22
T,30/12/2017 21:21,45.507997,-73.55368,20
T,30/12/2017 21:21,45.507795,-73.553165,19
T,30/12/2017 21:21,45.507579,-73.552628,17
T,30/12/2017 21:22,45.507474,-73.552353,14
T,30/12/2017 21:22,45.507383,-73.552107,13
T,30/12/2017 21:22,45.507069,-73.552183,13
T,30/12/2017 21:22,45.506544,-73.552505,11
T,30/12/2017 21:22,45.506033,-73.552881,10
T,30/12/2017 21:23,45.505497,-73.553123,11
T,30/12/2017 21:23,45.505256,-73.553214,12
T,30/12/2017 21:23,45.504718,-73.553423,11
T,30/12/2017 21:23,45.504208,-73.553619,9
T,30/12/2017 21:23,45.503599,-73.553811,7
T,30/12/2017 21:24,45.502871,-73.55387,6
T,30/12/2017 21:24,45.502369,-73.55384,7
T,30/12/2017 21:24,45.501686,-73.553776,8
T,30/12/2017 21:24,45.500853,-73.553568,12
T,30/12/2017 21:24,45.500326,-73.553405,10
T,30/12/2017 21:25,45.499745,-73.553004,10
T,30/12/2017 21:25,45.498993,-73.552898,10
T,30/12/2017 21:25,45.498073,-73.55284,12
T,30/12/2017 21:25,45.497043,-73.552941,12
T,30/12/2017 21:26,45.496506,-73.552972,12
T,30/12/2017 21:26,45.496021,-73.55311,11
T,30/12/2017 21:26,45.495551,-73.55352,9
T,30/12/2017 21:26,45.495164,-73.554123,8
T,30/12/2017 21:26,45.494892,-73.55388,8
T,30/12/2017 21:26,45.49466,-73.553264,10
T,30/12/2017 21:27,45.494455,-73.55298,9
T,30/12/2017 21:27,45.493609,-73.553199,9
T,30/12/2017 21:27,45.493229,-73.553314,9
T,30/12/2017 21:27,45.49308,-73.554556,9
T,30/12/2017 21:27,45.493036,-73.555529,10
T,30/12/2017 21:28,45.493014,-73.556177,10
T,30/12/2017 21:28,45.493118,-73.557002,11
T,30/12/2017 21:28,45.493057,-73.557641,13
T,30/12/2017 21:28,45.492902,-73.55809,18
T,30/12/2017 21:28,45.493156,-73.558779,16
T,30/12/2017 21:28,45.493402,-73.559445,15
T,30/12/2017 21:29,45.493599,-73.559979,17
T,30/12/2017 21:29,45.493847,-73.560655,15
T,30/12/2017 21:29,45.494085,-73.561285,16
T,30/12/2017 21:29,45.494176,-73.561741,16
T,30/12/2017 21:29,45.493701,-73.562065,15
T,30/12/2017 21:29,45.493219,-73.562413,13
T,30/12/2017 21:30,45.493215,-73.563148,14
T,30/12/2017 21:36,45.493223,-73.563479,27
T,30/12/2017 21:36,45.493124,-73.563707,32
T,30/12/2017 21:42,45.492948,-73.563576,35
T,30/12/2017 21:42,45.492936,-73.563547,35
