typ,time,latitude,longitude,altitude (m),name,desc
T,31/12/2017 21:17,45.509785,-73.574364,50.3,,
T,31/12/2017 21:17,45.509682,-73.574142,49.3,,
T,31/12/2017 21:17,45.509569,-73.573948,50.3,,
T,31/12/2017 21:18,45.509526,-73.573854,49.3,,
T,31/12/2017 21:18,45.509469,-73.573787,50.3,,
T,31/12/2017 21:18,45.509329,-73.573868,49.3,,
T,31/12/2017 21:18,45.509147,-73.574046,50.3,,
T,31/12/2017 21:18,45.509041,-73.574131,50.3,,
T,31/12/2017 21:18,45.508981,-73.574173,50.3,,
T,31/12/2017 21:18,45.508789,-73.574246,50.3,,
T,31/12/2017 21:18,45.508576,-73.574426,50.3,,
T,31/12/2017 21:18,45.508424,-73.574562,49.3,,
T,31/12/2017 21:18,45.508312,-73.574666,49.3,,
T,31/12/2017 21:18,45.508206,-73.574773,50.3,,
T,31/12/2017 21:18,45.508068,-73.5749,50.3,,
T,31/12/2017 21:18,45.507912,-73.575051,51.3,,
T,31/12/2017 21:19,45.507761,-73.575196,49.3,,
T,31/12/2017 21:19,45.507684,-73.575264,48.3,,
T,31/12/2017 21:19,45.507547,-73.575386,48.3,,
T,31/12/2017 21:19,45.507384,-73.575553,48.3,,
T,31/12/2017 21:19,45.507202,-73.575722,47.3,,
T,31/12/2017 21:19,45.507147,-73.575861,48.3,,
T,31/12/2017 21:19,45.507215,-73.576047,47.3,,
T,31/12/2017 21:19,45.507352,-73.576317,48.3,,
T,31/12/2017 21:19,45.507464,-73.576547,48.3,,
T,31/12/2017 21:19,45.507594,-73.576837,49.3,,
T,31/12/2017 21:19,45.50768,-73.577024,50.3,,
T,31/12/2017 21:19,45.50786,-73.577405,50.3,,
T,31/12/2017 21:19,45.50802,-73.577731,50.3,,
T,31/12/2017 21:19,45.508083,-73.57785,51.3,,
T,31/12/2017 21:20,45.508221,-73.577836,51.3,,
T,31/12/2017 21:20,45.50841,-73.577652,49.3,,
T,31/12/2017 21:20,45.508661,-73.577411,49.3,,
T,31/12/2017 21:20,45.508847,-73.577231,48.3,,
T,31/12/2017 21:20,45.509009,-73.577064,48.3,,
T,31/12/2017 21:20,45.509066,-73.577008,48.3,,
T,31/12/2017 21:20,45.509264,-73.576824,47.3,,
T,31/12/2017 21:20,45.509485,-73.576611,47.3,,
T,31/12/2017 21:20,45.509723,-73.576378,47.3,,
T,31/12/2017 21:20,45.509791,-73.576229,46.3,,
T,31/12/2017 21:20,45.509693,-73.575973,47.3,,
T,31/12/2017 21:20,45.509493,-73.575543,47.3,,
T,31/12/2017 21:20,45.509331,-73.575202,46.3,,
T,31/12/2017 21:21,45.50915,-73.574815,47.3,,
T,31/12/2017 21:21,45.50904,-73.574595,48.3,,
T,31/12/2017 21:21,45.508941,-73.574381,48.3,,
T,31/12/2017 21:21,45.508806,-73.574083,46.3,,
T,31/12/2017 21:21,45.508579,-73.573594,46.3,,
T,31/12/2017 21:21,45.508398,-73.573205,46.3,,
T,31/12/2017 21:21,45.508195,-73.572756,44.3,,
T,31/12/2017 21:21,45.508042,-73.572423,43.3,,
T,31/12/2017 21:21,45.507881,-73.572066,43.3,,
T,31/12/2017 21:21,45.507829,-73.571934,43.3,,
T,31/12/2017 21:21,45.507797,-73.571848,46.3,,
T,31/12/2017 21:22,45.507789,-73.571659,45.3,,
T,31/12/2017 21:22,45.50799,-73.571461,44.3,,
T,31/12/2017 21:22,45.508171,-73.571347,42.3,,
T,31/12/2017 21:22,45.508237,-73.571287,42.3,,
T,31/12/2017 21:22,45.508284,-73.571154,43.3,,
T,31/12/2017 21:22,45.508189,-73.570899,40.3,,
T,31/12/2017 21:22,45.508042,-73.570574,39.3,,
T,31/12/2017 21:22,45.507876,-73.570246,38.3,,
T,31/12/2017 21:23,45.507762,-73.570031,39.3,,
T,31/12/2017 21:23,45.507717,-73.569936,39.3,,
T,31/12/2017 21:23,45.507646,-73.5698,38.3,,
T,31/12/2017 21:23,45.507518,-73.569591,38.3,,
T,31/12/2017 21:23,45.507362,-73.569647,38.3,,
T,31/12/2017 21:23,45.507102,-73.569904,37.3,,
T,31/12/2017 21:23,45.506885,-73.570126,38.3,,
T,31/12/2017 21:23,45.506679,-73.570326,39.3,,
T,31/12/2017 21:23,45.506457,-73.570541,39.3,,
T,31/12/2017 21:23,45.506281,-73.570711,39.3,,
T,31/12/2017 21:23,45.506055,-73.570952,40.3,,
T,31/12/2017 21:24,45.505746,-73.571234,41.3,,
T,31/12/2017 21:24,45.505672,-73.571255,43.3,,
T,31/12/2017 21:24,45.505609,-73.57144,42.3,,
T,31/12/2017 21:24,45.505712,-73.571672,41.3,,
T,31/12/2017 21:25,45.505834,-73.571923,43.3,,
T,31/12/2017 21:25,45.505977,-73.572232,46.3,,
T,31/12/2017 21:25,45.506081,-73.572466,47.3,,
T,31/12/2017 21:25,45.506005,-73.572644,43.3,,
T,31/12/2017 21:25,45.505797,-73.572751,44.3,,
T,31/12/2017 21:25,45.5056,-73.572821,43.3,,
T,31/12/2017 21:25,45.505426,-73.572561,40.3,,
T,31/12/2017 21:25,45.505235,-73.57224,36.3,,
T,31/12/2017 21:25,45.505139,-73.572076,36.3,,
T,31/12/2017 21:25,45.505099,-73.571997,39.3,,
